time,direction,entry_price,result,profit_U,bars_since_last_flip,range_position,distance_to_range_high_ATR,distance_to_range_low_ATR,body_ATR,upper_wick_ratio,lower_wick_ratio,candle_range_ATR,mom12_ATR,current_bar_contribution,volume_ratio,ADX14,ATR_percent,future_max_profit,future_max_drawdown,bars_to_max_profit,bars_to_max_drawdown
2025-07-31 19:00,sell,116739.5,win,19.65,13,0.317,3.71,1.72,1.51,0.12,0.03,1.74,-3.28,0.46,1.97,14.1,0.51,8.29,0.35,53,1
2025-08-03 18:00,buy,114328.3,loss,-4.45,71,0.968,0.23,6.86,0.7,0.32,0.32,1.15,2.26,0.31,1.08,22.4,0.32,3.77,1.85,23,37
2025-08-05 07:00,sell,113934.2,loss,-11.52,37,0.202,4.26,1.08,0.52,1.03,1.3,1.71,-1.94,0.27,1.99,20.1,0.36,3.24,3.05,7,31
2025-08-06 14:00,buy,115132.6,win,10.44,31,0.82,0.93,4.25,1.54,0.06,0.43,2.3,2.6,0.59,2.99,15.7,0.52,4.66,1.51,68,14
2025-08-09 23:00,sell,116450.1,loss,-18.76,81,0.294,4.68,1.95,0.23,0.65,0.47,0.49,-2.05,0.11,0.46,24.1,0.27,0.04,6.67,1,4
2025-08-10 03:00,buy,118518.6,win,8.65,4,0.994,0.04,6.05,2.75,0.01,0.05,2.94,3.78,0.73,5.3,28.6,0.37,8.64,2.49,26,4
2025-08-11 12:00,sell,119662.3,loss,-5.13,33,0.552,3.76,4.62,1.26,0.13,0.15,1.6,0.76,-1.65,2.08,39.7,0.6,2.32,1.56,9,4
2025-08-12 20:00,buy,120156.4,win,5.84,32,0.496,3.2,3.15,0.79,0.27,0.3,1.23,1.97,0.4,0.89,22.1,0.57,6.48,1.83,28,9
2025-08-14 10:00,sell,120978.5,win,21.02,38,0.435,4.94,3.8,0.98,0.22,0.25,1.44,-2.77,0.35,1.32,29.9,0.6,5.79,0.29,30,2
2025-08-17 08:00,buy,118315.0,loss,-9.18,70,0.663,2.75,5.41,1.25,0.06,0.24,1.64,2.5,0.5,1.47,23.6,0.24,0.77,3.77,5,10
2025-08-17 23:00,sell,117346.9,win,6.81,15,0.17,3.39,0.69,1.55,0.06,0.09,1.77,-2.59,0.6,1.06,21.1,0.3,7.81,0.4,10,1
2025-08-18 18:00,buy,116430.0,loss,-15.18,19,0.464,3.62,3.14,0.11,1.58,2.91,0.6,2.1,0.05,0.34,34.3,0.5,0.92,2.88,4,9
2025-08-19 03:00,sell,114779.4,win,-0.23,9,0.045,5.77,0.27,1.44,0.02,0.03,1.5,-2.0,0.72,1.43,23.7,0.57,3.8,1.62,35,10
2025-08-21 01:00,buy,114690.9,loss,-21.46,46,0.643,2.01,3.62,0.68,0.13,0.76,1.28,3.12,0.22,0.87,38.5,0.57,0.15,3.72,1,15
2025-08-21 16:00,sell,112344.7,loss,-31.33,15,0.04,4.0,0.17,0.66,0.47,0.25,1.14,-2.31,0.29,1.52,33.5,0.54,1.18,6.07,20,22
2025-08-22 14:00,buy,115751.7,loss,-9.05,22,0.931,0.34,4.67,3.76,0.09,0.0,4.12,2.98,1.26,8.01,23.5,0.76,1.85,1.19,4,23
2025-08-23 13:00,sell,114820.1,win,24.89,23,0.555,5.71,7.1,0.8,0.0,0.34,1.07,-3.54,0.23,2.51,21.5,0.39,13.74,1.84,60,13
2025-08-26 22:00,buy,111847.4,loss,-4.66,81,0.639,2.68,4.74,0.45,0.27,0.13,0.63,2.48,0.18,1.25,28.8,0.61,2.36,2.26,39,10
2025-08-29 01:00,sell,111438.3,win,17.41,51,0.358,3.62,2.02,1.33,0.08,0.14,1.62,-2.45,0.54,1.45,16.2,0.5,7.63,0.65,76,3
2025-09-01 07:00,buy,109387.0,loss,-16.05,78,0.978,0.08,3.69,2.32,0.0,0.06,2.46,0.86,2.68,3.1,24.6,0.54,0.9,3.42,2,14
2025-09-01 21:00,sell,107740.8,loss,-24.08,14,0.196,3.22,0.78,1.62,0.05,0.34,2.25,-2.59,0.63,1.52,15.7,0.63,0.31,3.71,1,5
2025-09-02 02:00,buy,110227.3,loss,-4.91,5,0.993,0.03,4.07,1.28,0.02,0.18,1.54,1.52,0.85,1.33,14.6,0.67,3.14,2.57,39,10
2025-09-04 14:00,sell,109796.8,loss,-16.01,60,0.052,5.06,0.28,1.14,0.1,0.24,1.53,-2.97,0.38,3.42,18.1,0.5,0.95,3.21,1,8
2025-09-04 22:00,buy,111444.5,loss,-9.08,8,0.661,1.99,3.88,1.81,0.1,0.02,2.03,1.55,1.17,1.29,20.0,0.5,3.42,1.92,14,2
2025-09-05 14:00,sell,110543.6,loss,-5.19,16,0.31,3.51,1.58,3.12,0.0,0.04,3.23,-0.93,3.35,4.11,35.0,0.72,0.78,1.39,26,7
2025-09-07 08:00,buy,111006.4,win,1.95,42,0.317,8.19,3.79,1.04,1.06,0.15,2.29,3.08,0.34,2.93,13.9,0.26,6.57,1.58,31,18
2025-09-09 01:00,sell,111334.3,loss,-15.8,41,0.377,3.65,2.21,0.66,0.4,0.31,1.12,-1.3,0.5,1.04,28.1,0.38,0.58,4.2,1,5
2025-09-09 06:00,buy,112981.9,loss,-20.15,5,0.947,0.29,5.23,1.73,0.17,0.07,2.14,1.1,1.58,2.54,24.4,0.43,0.54,4.61,1,9
2025-09-09 15:00,sell,110818.7,loss,-16.11,9,0.098,4.09,0.44,1.54,0.09,0.1,1.84,-1.41,1.09,2.51,24.6,0.54,0.15,2.91,1,16
2025-09-10 07:00,buy,112493.3,win,23.14,16,0.702,1.58,3.72,1.55,0.07,0.05,1.73,2.6,0.6,1.51,16.8,0.42,8.7,0.89,60,2
2025-09-14 15:00,sell,115208.5,loss,-12.02,104,0.144,4.6,0.78,0.57,0.18,0.16,0.77,-1.4,0.41,1.22,13.9,0.27,1.41,4.35,10,14
2025-09-15 05:00,buy,116477.8,loss,-16.48,14,0.959,0.18,4.16,1.17,0.15,0.14,1.5,2.36,0.49,2.18,16.6,0.35,0.69,4.51,1,3
2025-09-15 08:00,sell,114675.1,loss,-16.21,3,0.022,3.82,0.09,2.02,0.0,0.04,2.11,-2.0,1.01,2.89,17.2,0.48,0.68,3.99,7,33
2025-09-16 17:00,buy,116419.5,loss,-8.47,33,0.829,0.86,4.16,0.75,1.14,0.05,1.64,1.03,0.73,2.76,17.0,0.44,1.6,2.02,13,21
