idx,date,type,entry,tp_rev,sl_rev,pnl_pct,result,bars,h4,box,brk_atr,brk_label,body_atr,mom12,kcontrib,vol_r,adx,adx_chg,struct_atr,mae,mfe
96,2026-09-04,sell,79420.0,80300.1,80300.1,-1.11,止损(反),59,多,震荡中轴,0.7,过度,2.77,-2.38,1.16,6.03,38.6,-2.2,3.91,2.41,1.02
97,2026-09-06,buy,80300.1,79357.9,79357.9,-1.17,止损(反),8,多,突破上沿,0.36,正常,1.04,1.54,0.67,2.71,16.4,-1.2,0.44,1.72,0.31
98,2026-09-07,sell,79357.9,79247.4,79247.4,0.14,止盈(反),48,多·回,箱体边缘,0.17,正常,0.74,-1.24,0.6,2.81,13.2,-1.4,0.41,0.37,2.25
99,2026-09-09,buy,79247.4,78196.3,78196.3,-1.33,止损(反),12,多,突破上沿,0.02,正常,0.33,2.33,0.14,0.85,25.4,-2.9,0.38,1.54,0.63
100,2026-09-09,sell,78196.3,77990.1,77990.1,0.26,止盈(反),41,多·回,箱体边缘,0.32,正常,0.39,-2.13,0.18,0.62,23.6,-0.3,0.15,0.45,2.98
101,2026-09-11,buy,77990.1,76773.3,76773.3,-1.56,止损(反),44,空·反,震荡中轴,0.35,过度,1.9,2.11,0.9,8.32,33.9,-5.5,0.54,2.72,2.43
102,2026-09-13,sell,76773.3,77251.1,77251.1,-0.62,止损(反),8,空,箱体边缘,0.88,过度,1.91,-2.17,0.88,4.45,12.1,3.9,0.29,0.73,0.44
103,2026-09-13,buy,77251.1,76679.3,76679.3,-0.74,止损(反),6,空,震荡中轴,0.19,正常,0.63,0.28,2.23,1.73,23.7,3.1,0.25,0.81,0.23
104,2026-09-13,sell,76679.3,77573.7,77573.7,-1.17,止损(反),4,空,箱体边缘,0.31,过度,2.46,0.16,-15.27,2.48,20.5,-1.9,1.01,1.32,0.46
105,2026-09-14,buy,77573.7,77876.1,77876.1,0.39,止盈(反),23,空·反,突破上沿,0.37,正常,1.39,1.14,1.22,2.63,24.0,4.9,0.22,0.76,2.57
106,2026-09-15,sell,77876.1,76937.6,76937.6,1.21,止盈(反),73,多,震荡中轴,0.05,正常,0.13,-0.65,0.19,1.1,29.0,-4.5,1.05,0.23,3.83
107,2026-09-18,buy,76937.6,80312.1,80312.1,4.39,止盈(反),48,空·反,突破上沿,0.17,正常,0.69,1.37,0.5,1.17,11.2,-2.0,0.58,0.43,6.49
108,2026-09-20,sell,80312.1,81307.5,81307.5,-1.24,止损(反),14,多,震荡中轴,1.39,过度,2.22,-3.57,0.62,3.89,41.9,-10.2,1.43,1.46,0.26
109,2026-09-20,buy,81307.5,,,,—,,多,震荡中轴,0.25,正常,1.28,2.6,0.49,2.51,29.0,-5.8,1.27,,
