time,signal,close,st_distance_atr,body_atr,close_position,ATR_pct,ER20,ADX14,range_atr,break_high20,break_distance_atr,bars_since_flip,trend_age,MA30_slope,future_MFE_10,future_MFE_20,future_MAE_20,future_return_20,success_label,RSI14,volume,vol_ratio,htf_dir,align,squeeze,bbw_rank,reverse_signal_price,exit_result,pnl_pct
2025-01-16 15:00:00,-1,99299.9,4.1372,1.9268,0.9999,0.8805,0.0656,31.51,2.2747,100880.0,-1.8071,66,0,0.0943,0.2705,0.2705,3.7716,-2.9506,0,53.12,639.62,1.891,1,0,1,38.0,101103.2,SL,-1.816
2025-01-17 02:00:00,1,101103.2,-3.4036,0.6071,0.2323,0.9066,0.138,20.16,1.5074,101857.3,-0.8227,11,0,0.0565,2.0366,5.1757,0.1824,3.2866,1,61.55,697.51,1.626,1,1,0,50.0,101334.0,TP,0.228
2025-01-19 23:00:00,-1,101334.0,2.8713,1.3862,0.449,1.4751,0.3303,21.01,2.5247,106448.6,-3.4216,69,0,-0.0554,1.2093,1.2093,5.6637,-2.3163,0,30.67,3169.86,4.909,1,0,0,72.0,107148.3,SL,-5.738
2025-01-20 07:00:00,1,107148.3,-3.5225,0.1794,0.075,1.9223,0.162,27.43,1.2294,109800.0,-1.2874,8,0,0.0431,1.0069,1.0069,3.4167,-3.9438,0,63.52,2727.56,2.591,1,1,0,100.0,103920.2,SL,-3.013
2025-01-20 18:00:00,-1,103920.2,3.127,0.3995,0.6729,2.3228,0.0202,27.59,0.7344,109800.0,-2.4358,11,0,-0.0142,1.578,1.578,0.5768,0.6258,1,45.49,871.79,0.58,1,0,0,99.0,107022.0,SL,-2.985
2025-01-21 19:00:00,1,107022.0,-2.7809,0.109,0.855,1.3366,0.3696,23.67,0.6171,107285.8,-0.1844,25,0,-0.0219,0.1244,0.1244,2.3653,-2.6481,0,64.42,546.62,0.749,1,1,0,69.0,102646.1,SL,-4.089
2025-01-23 02:00:00,-1,102646.1,3.1068,0.3472,0.6026,0.8337,0.3837,26.5,1.0406,105956.2,-3.8682,31,0,-0.136,1.6514,1.6514,4.928,-1.3047,0,34.2,503.6,1.412,1,0,0,41.0,105272.7,SL,-2.559
2025-01-23 15:00:00,1,105272.7,-2.2289,0.0445,0.8362,1.2928,0.071,36.1,2.2932,106062.1,-0.58,13,0,0.007,1.1686,1.1686,2.2481,0.1421,1,64.06,3058.02,6.069,1,1,0,51.0,101728.2,SL,-3.367
2025-01-27 00:00:00,-1,101728.2,1.7837,1.5079,0.0812,0.5688,0.7305,23.78,2.9041,105526.6,-6.5644,81,0,-0.187,6.8724,6.8724,1.0729,0.3384,1,15.27,706.18,4.293,1,0,0,60.0,101101.3,TP,0.616
2025-01-27 15:00:00,1,101101.3,-3.3031,0.6471,0.2111,1.2271,0.3066,42.61,1.0491,105241.3,-3.3371,15,0,-0.0946,1.4525,1.8316,1.8075,1.6422,1,46.77,835.16,1.135,-1,0,0,91.0,101263.8,TP,0.161
2025-01-28 22:00:00,-1,101263.8,3.4431,0.9722,0.8792,0.951,0.1854,20.86,1.1685,103848.0,-2.6834,31,0,0.0527,0.5335,0.5335,1.8238,-1.5664,0,43.74,256.72,0.69,-1,1,1,58.0,103744.3,SL,-2.45
