time,signal,close,st_distance_atr,body_atr,close_position,ATR_pct,ER20,ADX14,range_atr,break_high20,break_distance_atr,bars_since_flip,trend_age,MA30_slope,future_MFE_10,future_MFE_20,future_MAE_20,future_return_20,success_label,RSI14,volume,vol_ratio,htf_dir,align,squeeze,bbw_rank,reverse_signal_price,exit_result,pnl_pct
2026-01-09 15:30:00,1,91231.6,-3.8268,0.9805,0.0361,0.5032,0.194,27.07,1.7821,91732.6,-1.0914,30,0,0.0398,1.1988,1.1988,2.2827,-1.0558,0,60.32,381.39,3.496,-1,0,0,82.0,90589.8,SL,-0.703
2026-01-10 14:45:00,-1,90589.8,3.2569,0.5137,1.0,0.0668,0.3256,19.84,0.5137,90836.3,-4.0717,93,0,-0.013,0.1619,1.2967,2.514,-0.0348,0,40.0,38.11,1.701,1,0,0,34.0,90557.2,TP,0.036
2026-01-11 00:30:00,1,90557.2,-3.2727,0.6329,0.1216,0.0782,0.0694,22.28,0.7205,90654.7,-1.3775,39,0,-0.0736,2.4117,3.6903,0.0028,0.2858,1,50.08,3.53,0.235,1,1,0,44.0,90693.1,TP,0.15
2026-01-11 19:45:00,-1,90693.1,2.6345,0.8464,0.1221,0.1223,0.3209,17.92,0.9672,91284.6,-5.3318,77,0,-0.0535,2.423,4.1717,5.0704,-0.6202,0,36.61,17.04,0.893,1,0,0,94.0,91012.0,SL,-0.352
2026-01-11 23:45:00,1,91012.0,-2.6347,0.4328,0.9621,0.2165,0.0728,20.31,0.7905,91039.8,-0.1411,16,0,-0.0048,4.7341,7.6548,1.5948,1.2614,1,60.44,20.34,0.78,1,1,0,90.0,91552.1,TP,0.593
2026-01-12 08:00:00,-1,91552.1,3.3086,0.6401,0.7312,0.2338,0.3514,16.31,1.3349,92520.6,-4.5251,33,0,0.1138,5.3829,5.4998,0.25,1.089,1,43.76,71.02,1.174,1,0,0,78.0,91528.1,TP,0.026
2026-01-12 15:30:00,1,91528.1,-2.6394,0.6445,0.8317,0.3458,0.3523,29.96,1.087,91417.0,0.351,30,0,-0.0025,2.4913,2.4913,1.6459,-0.063,0,65.13,116.73,2.009,-1,0,0,63.0,91419.7,SL,-0.118
2026-01-12 22:00:00,-1,91419.7,3.6483,1.3915,0.9362,0.2859,0.1835,20.12,1.4864,92299.1,-3.3646,26,0,0.0789,1.3131,1.398,0.4943,0.1605,1,48.3,66.33,1.134,1,0,0,34.0,92090.5,SL,-0.734
2026-01-13 05:15:00,1,92090.5,-2.4756,1.6014,0.7012,0.232,0.2708,19.91,2.6061,91750.0,1.5934,29,0,0.1614,0.8437,2.6932,1.3056,0.1703,1,70.06,140.46,4.387,1,1,0,37.0,94894.5,TP,3.045
2026-01-14 06:30:00,-1,94894.5,3.7267,0.7301,0.9855,0.2663,0.1703,26.96,1.4969,95796.8,-3.5704,101,0,-0.1099,0.1998,0.2426,1.6461,-0.0369,0,43.73,118.08,1.767,1,0,0,42.0,95633.2,SL,-0.778
2026-01-14 14:15:00,1,95633.2,-2.9615,0.6575,0.5249,0.2419,0.2482,16.97,1.544,95523.2,0.4755,31,0,0.0859,8.9195,9.2622,1.1913,2.0076,1,65.12,141.32,1.98,1,1,0,39.0,96491.0,TP,0.897
2026-01-15 01:30:00,-1,96491.0,3.1212,0.2802,0.6285,0.3214,0.3707,20.31,0.9434,97761.7,-4.097,45,0,-0.0289,2.2924,2.2924,0.3982,0.284,1,41.2,78.85,1.139,1,0,0,73.0,97036.9,SL,-0.566
2026-01-15 09:45:00,1,97036.9,-3.2352,0.1912,0.2441,0.2269,0.3291,19.75,0.9191,97091.6,-0.2484,33,0,0.0771,0.1562,0.5136,6.525,-0.996,0,64.84,68.34,1.252,1,1,0,41.0,96070.4,SL,-0.996
2026-01-15 14:45:00,-1,96070.4,3.1351,0.6703,0.5585,0.3794,0.2784,22.76,2.311,97189.9,-3.0716,20,0,-0.0372,1.6995,2.4211,2.755,0.5817,1,38.97,275.09,5.268,1,0,0,48.0,95696.2,TP,0.39
2026-01-16 07:00:00,1,95696.2,-3.3003,0.3279,0.0,0.1629,0.1177,15.64,0.6006,95836.3,-0.8989,65,0,0.0376,0.9605,0.9605,2.7648,-0.2258,0,54.8,55.89,1.679,-1,0,0,31.0,95200.1,SL,-0.518
2026-01-16 14:45:00,-1,95200.1,2.2698,0.1744,0.0003,0.2162,0.2342,14.94,1.4613,95813.0,-2.9775,31,0,-0.0638,4.3552,4.3552,2.3542,0.2021,1,39.41,74.61,2.35,-1,1,1,20.0,95424.0,SL,-0.235
2026-01-16 21:00:00,1,95424.0,-3.3845,0.6252,0.0,0.2399,0.2924,16.33,0.769,95569.0,-0.6335,25,0,-0.0003,0.7685,0.7685,0.7013,-0.1466,0,58.13,42.93,1.185,-1,0,0,70.0,95164.0,SL,-0.272
2026-01-17 08:00:00,-1,95164.0,3.7601,0.6595,0.8962,0.1002,0.2037,20.11,1.9186,95381.8,-2.2835,44,0,-0.1092,0.2191,0.996,2.5341,-0.0834,0,41.84,74.55,3.267,-1,1,0,18.0,95337.6,SL,-0.182
2026-01-17 12:00:00,1,95337.6,-2.5952,0.2773,1.0,0.0707,0.2972,15.81,0.8095,95318.9,0.2773,16,0,0.0013,2.9327,4.4539,2.1143,0.0286,1,58.83,10.65,0.617,-1,0,0,22.0,95175.9,SL,-0.17
2026-01-17 22:15:00,-1,95175.9,2.5826,0.2002,0.1156,0.0745,0.3028,17.32,1.0858,95467.7,-4.1149,41,0,-0.1392,1.7472,4.1995,1.0449,0.0416,1,34.76,13.37,1.268,-1,1,0,51.0,95275.1,SL,-0.104
2026-01-18 09:45:00,1,95275.1,-2.9088,0.5811,0.5928,0.065,0.2937,17.56,0.983,95268.3,0.1098,46,0,0.1394,0.368,1.6125,5.7478,-0.3279,0,64.21,34.8,2.32,-1,0,0,31.0,94976.9,SL,-0.313
2026-01-18 13:15:00,-1,94976.9,2.8404,1.0043,0.4165,0.0765,0.179,14.37,1.9123,95299.9,-4.4437,14,0,-0.1007,0.6452,0.6452,5.7934,-0.4081,0,34.87,39.54,2.751,-1,1,0,22.0,95171.8,SL,-0.205
2026-01-18 14:15:00,1,95171.8,-3.8614,0.6737,0.1192,0.1072,0.0153,12.99,2.2622,95299.9,-1.2561,4,0,-0.0026,0.8345,3.3457,2.371,0.2892,1,52.04,34.98,1.932,-1,0,1,29.0,94604.0,SL,-0.597
2026-01-18 23:15:00,-1,94604.0,1.5192,2.5597,0.0587,0.193,0.4094,27.3,3.356,95529.0,-5.0658,36,0,-0.0931,14.8084,14.8084,1.1451,2.0248,1,26.11,181.29,7.549,-1,1,0,100.0,93258.2,TP,1.423
2026-01-19 08:45:00,1,93258.2,-2.9653,0.5578,0.5302,0.2195,0.4508,40.45,1.1478,93228.9,0.1431,38,0,0.1135,0.0049,0.234,2.2088,-0.2469,0,64.01,305.09,3.505,-1,0,0,79.0,92977.2,SL,-0.301
2026-01-19 22:15:00,-1,92977.2,3.2355,1.0006,0.6538,0.1582,0.2314,13.94,1.5315,93384.0,-2.7653,54,0,0.0372,5.5543,5.5543,0.0007,0.6479,1,45.39,30.97,1.23,-1,1,1,25.0,89431.2,TP,3.814
2026-01-21 03:45:00,1,89431.2,-3.1445,0.47,0.2784,0.279,0.3505,25.76,0.652,89589.0,-0.6323,118,0,-0.0455,2.7257,2.7257,1.7279,-0.2596,0,56.22,84.16,0.822,-1,0,0,59.0,89212.8,SL,-0.244
2026-01-21 07:45:00,-1,89212.8,3.1471,0.055,0.6891,0.2507,0.0672,21.53,0.7781,90111.4,-4.0185,16,0,0.0992,0.9516,4.6271,1.1989,0.5366,1,42.78,139.72,2.068,-1,1,0,22.0,89596.8,SL,-0.43
2026-01-21 14:15:00,1,89596.8,-2.8093,0.0458,0.6894,0.4046,0.0575,23.57,1.007,89731.9,-0.3726,26,0,-0.0044,2.745,2.745,6.4491,0.0551,1,60.54,168.07,2.094,-1,0,0,66.0,87595.4,SL,-2.234
2026-01-21 16:45:00,-1,87595.4,2.117,0.9112,0.0105,0.6937,0.1923,25.01,1.8038,90592.0,-4.9313,10,0,-0.0989,0.5541,0.5541,4.7046,-3.0217,0,30.13,356.85,2.078,1,0,0,100.0,90051.5,SL,-2.804
2026-01-21 19:30:00,1,90051.5,-2.6526,0.6806,0.8194,0.6613,0.0526,26.12,1.0878,90592.0,-0.9076,11,0,0.0935,0.6762,0.6762,1.1612,-0.1303,0,64.53,247.05,1.505,-1,0,0,100.0,89607.0,SL,-0.494
2026-01-22 13:45:00,-1,89607.0,3.0013,0.0474,0.501,0.2119,0.2115,11.54,1.297,90333.4,-3.8253,73,0,-0.0691,5.7489,5.7489,0.9368,0.3014,1,34.81,59.59,0.779,1,0,1,37.0,89948.8,SL,-0.381
