idx,date,type,score,blocked,status,confirmed,m1,m2,m3,pen,entry,tp1,sl,exit,reason,pnl_pct,pnl_u,bars
77,2026-08-03,buy,0.0,N,等待确认,Y,0.0,0.0,0.0,0.0,63321.8,64271.6,62055.4,64244.2,评分确认·保本止损,1.46,14.06,72
78,2026-08-09,sell,45.0,Y,拦截,N,25.0,25.0,15.0,-20.0,64753.8,63782.5,66048.9,,评分拦截,,,
79,2026-08-09,buy,63.0,Y,拦截,Y,40.0,15.0,8.0,0.0,65188.7,66166.5,63884.9,,评分拦截,,,
80,2026-08-09,sell,8.0,Y,拦截,N,0.0,0.0,8.0,0.0,64870.1,63897.0,66167.5,,评分拦截,,,
81,2026-08-12,buy,63.0,Y,拦截,N,40.0,25.0,8.0,-10.0,64202.5,65165.5,62918.4,,评分拦截,,,
82,2026-08-12,sell,20.0,Y,拦截,N,25.0,5.0,0.0,-10.0,63347.7,62397.5,64614.7,,评分拦截,,,
83,2026-08-16,buy,85.0,N,放行,N,40.0,25.0,20.0,0.0,63228.3,64176.7,61963.7,63009.3,止损,-0.35,-3.96,4
84,2026-08-16,sell,30.0,Y,拦截,N,40.0,0.0,0.0,-10.0,62900.0,61956.5,64158.0,,评分拦截,,,
85,2026-08-17,buy,43.0,Y,拦截,N,40.0,5.0,8.0,-10.0,63377.9,64328.6,62110.3,,评分拦截,,,
86,2026-08-23,sell,75.0,Y,拦截,N,40.0,25.0,20.0,-10.0,76071.4,74930.3,77592.8,,评分拦截,,,
87,2026-08-23,buy,70.0,Y,拦截,N,40.0,25.0,15.0,-10.0,77826.0,78993.4,76269.5,,评分拦截,,,
88,2026-08-25,sell,40.0,Y,拦截,N,25.0,25.0,0.0,-10.0,78162.8,76990.4,79726.1,,评分拦截,,,
89,2026-08-27,buy,55.0,Y,拦截,N,40.0,25.0,0.0,-10.0,79720.0,80915.8,78125.6,,评分拦截,,,
90,2026-08-28,sell,30.0,Y,拦截,N,25.0,15.0,0.0,-10.0,79258.2,78069.3,80843.4,,评分拦截,,,
91,2026-08-30,buy,53.0,Y,拦截,N,40.0,15.0,8.0,-10.0,78756.2,79937.5,77181.1,,评分拦截,,,
92,2026-08-30,sell,25.0,Y,拦截,N,40.0,5.0,0.0,-20.0,77640.2,76475.6,79193.0,,评分拦截,,,
93,2026-09-01,buy,15.0,Y,拦截,N,25.0,0.0,0.0,-10.0,79140.1,80327.2,77557.3,,评分拦截,,,
94,2026-09-01,sell,40.0,N,等待确认,Y,25.0,25.0,0.0,-10.0,77560.4,76397.0,79111.6,76746.0,评分确认·保本止损,1.05,10.01,7
95,2026-09-03,buy,30.0,N,等待确认,Y,25.0,15.0,0.0,-10.0,77900.1,79068.6,76342.1,79307.4,评分确认·保本止损,1.81,17.56,25
96,2026-09-04,sell,60.0,Y,拦截,N,40.0,15.0,15.0,-10.0,79420.0,78228.7,81008.4,,评分拦截,,,
97,2026-09-06,buy,65.0,Y,拦截,N,40.0,15.0,20.0,-10.0,80300.1,81504.6,78694.1,,评分拦截,,,
98,2026-09-07,sell,20.0,Y,拦截,N,25.0,15.0,0.0,-20.0,79357.9,78167.5,80945.1,,评分拦截,,,
99,2026-09-09,buy,40.0,N,等待确认,Y,25.0,25.0,0.0,-10.0,79247.4,80436.1,77662.5,78353.7,评分确认·止损,-1.13,-11.77,8
100,2026-09-09,sell,40.0,Y,拦截,N,25.0,25.0,0.0,-10.0,78196.3,77023.4,79760.2,,评分拦截,,,
101,2026-09-11,buy,53.0,Y,拦截,Y,40.0,15.0,8.0,-10.0,77990.1,79160.0,76430.3,,评分拦截,,,
102,2026-09-13,sell,45.0,Y,拦截,N,40.0,5.0,0.0,0.0,76773.3,75621.7,78308.8,,评分拦截,,,
103,2026-09-13,buy,25.0,Y,拦截,N,25.0,0.0,0.0,0.0,77251.1,78409.9,75706.1,,评分拦截,,,
104,2026-09-13,sell,0.0,Y,拦截,N,0.0,0.0,0.0,-10.0,76679.3,75529.1,78212.9,,评分拦截,,,
105,2026-09-14,buy,60.0,Y,拦截,N,40.0,5.0,15.0,0.0,77573.7,78737.3,76022.2,,评分拦截,,,
106,2026-09-15,sell,0.0,Y,拦截,N,0.0,8.0,8.0,-20.0,77876.1,76708.0,79433.6,,评分拦截,,,
107,2026-09-18,buy,30.0,N,等待确认,Y,25.0,15.0,0.0,-10.0,76937.6,78091.7,75398.8,78902.5,评分确认·保本止损,2.55,25.03,48
108,2026-09-20,sell,75.0,Y,拦截,N,40.0,25.0,20.0,-10.0,80312.1,79107.4,81918.3,,评分拦截,,,
109,2026-09-20,buy,48.0,Y,拦截,N,25.0,25.0,8.0,-10.0,81307.5,82527.1,79681.4,,评分拦截,,,
