idx,date,type,score,blocked,filt,confirmed,m1,m2,m3,m4,pen,tp1_hit,entry,tp1,sl,exit,reason,outcome,pnl_pct,pnl_u,bars
96,2026-09-04,sell,70.0,N,放行,N,0.0,25.0,25.0,20.0,0.0,False,79420.0,78228.7,81008.4,80197.8,止损,止损,-0.98,-10.3,59
97,2026-09-06,buy,93.0,N,放行,N,30.0,25.0,18.0,20.0,0.0,False,80300.1,81504.6,78694.1,79418.5,止损,止损,-1.1,-11.47,8
98,2026-09-07,sell,23.0,Y,拦截,N,0.0,5.0,18.0,0.0,0.0,True,79357.9,78167.5,80945.1,78489.0,若成交·保本止损,TP1,1.09,10.45,46
99,2026-09-09,buy,43.0,N,放行,Y,30.0,5.0,8.0,0.0,0.0,False,79247.4,80436.1,77662.5,78353.7,止损,止损,-1.13,-11.77,8
100,2026-09-09,sell,5.0,Y,拦截,N,0.0,5.0,15.0,0.0,-15.0,True,78196.3,77023.4,79760.2,77258.6,若成交·保本止损,TP1,1.2,11.5,41
101,2026-09-11,buy,60.0,N,放行,Y,0.0,25.0,25.0,10.0,0.0,True,77990.1,79160.0,76430.3,78809.0,保本止损,TP1,1.05,9.99,3
102,2026-09-13,sell,70.0,N,放行,N,30.0,25.0,10.0,20.0,-15.0,False,76773.3,75621.7,78308.8,77207.6,止损,止损,-0.57,-6.16,6
103,2026-09-13,buy,15.0,Y,拦截,N,0.0,5.0,10.0,0.0,0.0,False,77251.1,78409.9,75706.1,76755.2,若成交·止损,止损,-0.64,-6.92,6
104,2026-09-13,sell,50.0,N,放行,N,30.0,0.0,10.0,10.0,0.0,False,76679.3,75529.1,78212.9,77441.6,止损,止损,-0.99,-10.45,4
105,2026-09-14,buy,63.0,N,放行,N,0.0,25.0,18.0,20.0,0.0,True,77573.7,78737.3,76022.2,78485.2,保本止损,TP1,1.18,11.24,23
106,2026-09-15,sell,10.0,Y,拦截,N,0.0,0.0,0.0,10.0,0.0,True,77876.1,76708.0,79433.6,76760.0,若成交·保本止损,TP1,1.43,13.84,59
107,2026-09-18,buy,13.0,N,确认,Y,0.0,5.0,8.0,0.0,0.0,True,76937.6,78091.7,75398.8,78902.5,确认·保本止损,TP1,2.55,25.03,48
108,2026-09-20,sell,55.0,N,放行,N,0.0,25.0,25.0,20.0,-15.0,False,80312.1,79107.4,81918.3,81222.7,止损,止损,-1.13,-11.84,14
109,2026-09-20,buy,63.0,N,放行,N,30.0,5.0,18.0,10.0,0.0,True,81307.5,82527.1,79681.4,83706.3,区间结束,TP1,2.95,28.99,61
